LoanID,LoanAmount,Income,Age,CreditScore,ExistingEMI,EmploymentStatus,Tenure,MaritalStatus,Dependents,RepaymentHistory,Purpose,Stage,DelinquencyCount12M,DefaultStatus
6384,803658,23512,22,528,14323,Retired,48,Single,3,Good,Personal Loan,Disbursement,4,0
6385,622693,7811,58,527,15939,Retired,41,Single,1,Good,Car Loan,File,3,0
6386,814020,36459,39,790,420,Unemployed,22,Single,1,Average,Car Loan,Disbursement,2,0
6387,215048,28726,38,799,11555,Retired,55,Married,3,Good,Personal Loan,Disbursement,4,0
6388,692069,12836,64,558,7119,Self-Employed,9,Married,3,Poor,Car Loan,Lead,1,0
6389,970292,38158,22,334,18074,Unemployed,14,Married,3,Average,Home Loan,File,4,0
6390,42019,11862,46,758,6579,Employed,31,Divorced,0,Good,Personal Loan,Disbursement,4,0
6391,967452,34804,44,544,3545,Unemployed,44,Single,0,Good,Car Loan,Sanction,0,0
6392,266497,20011,47,451,4619,Self-Employed,56,Single,0,Good,Car Loan,Sanction,3,0
6393,594421,37107,49,448,11280,Unemployed,23,Married,1,Good,Business Loan,Disbursement,0,0
6394,905876,24544,28,495,12633,Unemployed,19,Widowed,2,Good,Business Loan,Lead,0,0
6395,726818,16425,51,763,5350,Self-Employed,36,Married,1,Good,Business Loan,Lead,4,0
6396,384747,36139,54,438,13521,Self-Employed,34,Divorced,0,Average,Business Loan,Sanction,0,0
6397,163598,35444,34,701,6968,Retired,6,Widowed,2,Average,Car Loan,Sanction,4,0
6398,995997,7072,24,802,5266,Employed,40,Widowed,3,Good,Car Loan,Lead,4,0
6399,657873,2252,63,506,18705,Self-Employed,34,Divorced,3,Good,Business Loan,File,2,0
6400,450414,37632,49,364,12408,Unemployed,16,Widowed,1,Good,Car Loan,File,3,0
6401,774460,12208,59,735,18334,Employed,24,Widowed,0,Poor,Personal Loan,Disbursement,2,0
6402,497750,20615,53,338,17858,Self-Employed,41,Single,0,Average,Business Loan,Sanction,4,0
6403,834827,19144,41,392,8777,Employed,36,Single,4,Good,Car Loan,Sanction,4,0
6404,422247,21670,61,697,14352,Employed,35,Divorced,2,Good,Personal Loan,Lead,2,0
6405,473758,25218,21,819,6003,Employed,54,Widowed,0,Average,Business Loan,File,2,0
6406,655102,35160,47,486,3752,Unemployed,40,Single,2,Average,Home Loan,Sanction,2,0
6407,960205,13283,22,377,854,Retired,48,Single,3,Good,Car Loan,Disbursement,0,0
6408,379743,27006,63,414,8473,Retired,49,Widowed,1,Average,Car Loan,Sanction,3,0
6409,30939,35764,30,636,9698,Employed,32,Single,4,Poor,Car Loan,Disbursement,2,0
6410,971649,27667,30,652,11347,Unemployed,46,Divorced,2,Good,Personal Loan,Sanction,3,0
6411,942828,26677,50,775,15587,Retired,42,Single,4,Good,Home Loan,Disbursement,4,0
6412,158939,12891,21,347,7808,Self-Employed,23,Divorced,1,Good,Home Loan,Disbursement,1,0
6413,791635,16542,51,544,1669,Unemployed,15,Widowed,4,Average,Home Loan,Lead,3,0
6414,939048,16414,55,687,628,Self-Employed,55,Single,2,Good,Home Loan,Lead,0,0
6415,938403,20564,49,600,5753,Unemployed,56,Single,0,Average,Personal Loan,Lead,2,0
6416,820495,7316,33,535,19771,Self-Employed,17,Widowed,3,Good,Home Loan,Lead,4,0
6417,620168,14759,29,769,3835,Self-Employed,30,Single,4,Good,Personal Loan,Lead,3,0
6418,533036,30190,60,446,17407,Employed,10,Divorced,3,Good,Car Loan,File,4,0
6419,241094,24817,63,489,4786,Employed,45,Single,4,Good,Business Loan,Disbursement,2,0
6420,384413,38776,61,589,17628,Self-Employed,34,Married,2,Average,Car Loan,File,4,0
6421,989133,9373,31,629,17678,Employed,44,Single,3,Average,Personal Loan,Disbursement,0,0
6422,872196,38054,44,831,15050,Employed,15,Widowed,1,Good,Personal Loan,File,1,0
6423,156956,12873,45,458,7246,Retired,15,Single,1,Good,Business Loan,Sanction,1,0
6424,161255,39285,33,486,18041,Self-Employed,51,Married,3,Average,Business Loan,Lead,4,0
6425,469462,21012,34,465,11042,Employed,24,Widowed,3,Poor,Business Loan,Lead,4,1
6426,899468,18922,61,749,4324,Self-Employed,48,Widowed,1,Average,Home Loan,Lead,3,0
6427,679619,15994,23,844,3956,Employed,35,Married,2,Average,Business Loan,Disbursement,4,0
6428,696319,20164,26,508,15210,Retired,55,Widowed,4,Good,Personal Loan,Sanction,1,0
6429,907957,8605,33,366,11424,Self-Employed,48,Divorced,2,Good,Business Loan,Sanction,4,0
6430,431673,13718,21,407,84,Unemployed,56,Divorced,3,Good,Personal Loan,Disbursement,0,0
6431,352823,37116,49,393,5525,Employed,47,Widowed,2,Good,Home Loan,Sanction,1,0
6432,130829,18145,34,460,4865,Retired,18,Married,3,Good,Business Loan,Lead,1,0
6433,133216,23791,32,593,19946,Self-Employed,28,Divorced,2,Average,Personal Loan,File,0,0
6434,924607,18120,46,384,2263,Retired,45,Married,4,Good,Car Loan,Sanction,0,0
6435,595189,25553,43,547,7657,Retired,7,Divorced,2,Good,Business Loan,File,1,0
6436,772674,18362,23,849,13805,Employed,27,Widowed,0,Average,Car Loan,File,3,0
6437,180607,37859,34,380,394,Self-Employed,51,Single,4,Good,Car Loan,Sanction,2,0
6438,414319,21946,54,340,15457,Retired,42,Single,4,Poor,Home Loan,Disbursement,3,1
6439,627334,39849,43,595,18264,Retired,26,Widowed,2,Good,Personal Loan,Disbursement,3,0
6440,357156,6901,30,305,3920,Unemployed,30,Married,3,Average,Personal Loan,Lead,1,0
6441,607566,37072,24,464,18231,Self-Employed,38,Divorced,0,Good,Home Loan,File,1,0
6442,279535,4485,59,781,3994,Employed,58,Widowed,0,Good,Car Loan,Sanction,1,0
6443,107476,35416,30,348,1157,Self-Employed,17,Married,0,Average,Car Loan,File,0,0
6444,951405,12461,44,485,11361,Self-Employed,48,Widowed,0,Good,Business Loan,Lead,1,0
6445,387865,16012,54,826,14101,Retired,47,Single,0,Good,Personal Loan,Lead,3,0
6446,626825,32131,44,334,15627,Employed,37,Divorced,1,Good,Business Loan,Disbursement,1,0
6447,872591,11743,45,755,17620,Retired,10,Married,2,Good,Business Loan,Disbursement,4,0
6448,990418,31447,35,750,4350,Employed,29,Single,1,Good,Car Loan,Disbursement,0,0
6449,922472,4632,32,798,17397,Employed,28,Widowed,3,Good,Personal Loan,Disbursement,1,0
6450,186429,26287,21,682,12975,Unemployed,27,Divorced,2,Good,Home Loan,Sanction,1,0
6451,222980,29108,62,514,13802,Retired,32,Widowed,1,Good,Car Loan,Disbursement,1,0
6452,508551,36036,29,368,6413,Retired,24,Married,1,Good,Business Loan,Disbursement,0,0
6453,960941,36541,34,641,17364,Unemployed,40,Single,2,Poor,Car Loan,Disbursement,2,0
6454,826935,9020,61,694,3841,Employed,59,Married,0,Good,Personal Loan,Sanction,4,0
6455,491675,38395,51,619,9275,Self-Employed,21,Divorced,4,Poor,Car Loan,Lead,0,0
6456,80403,4548,44,460,2840,Self-Employed,23,Married,0,Average,Business Loan,Lead,3,0
6457,963762,36318,30,579,17463,Retired,50,Divorced,2,Good,Business Loan,Lead,1,0
6458,956228,20524,62,515,3051,Employed,12,Widowed,4,Good,Home Loan,Lead,0,0
6459,593574,7846,63,610,19776,Unemployed,51,Widowed,1,Poor,Business Loan,Disbursement,4,0
6460,341986,21904,38,782,6029,Self-Employed,21,Widowed,3,Poor,Personal Loan,Disbursement,0,0
6461,109927,9125,23,305,1135,Unemployed,38,Married,3,Average,Business Loan,File,3,0
6462,806340,10812,32,846,10548,Unemployed,42,Divorced,0,Good,Personal Loan,File,2,0
6463,490833,7407,55,657,2601,Retired,42,Widowed,0,Average,Business Loan,File,2,0
6464,448842,33601,64,789,574,Employed,28,Married,0,Good,Home Loan,Lead,4,0
6465,304372,6767,43,644,468,Unemployed,15,Divorced,0,Good,Car Loan,Sanction,4,0
6466,28386,10362,42,813,4475,Retired,25,Widowed,0,Average,Car Loan,Sanction,2,0
6467,182826,24028,31,819,9036,Unemployed,20,Widowed,4,Good,Car Loan,Disbursement,0,0
6468,509158,20803,43,602,10200,Self-Employed,56,Single,3,Poor,Personal Loan,File,1,0
6469,295446,12971,32,671,4954,Self-Employed,43,Single,3,Good,Business Loan,Disbursement,4,0
6470,327959,16520,49,586,854,Unemployed,22,Single,1,Poor,Car Loan,File,2,0
6471,257156,26061,45,395,285,Employed,24,Married,4,Good,Business Loan,Disbursement,4,0
6472,854776,35706,44,360,8856,Unemployed,37,Married,0,Good,Business Loan,Disbursement,3,0
6473,958122,23314,24,736,2968,Unemployed,51,Single,4,Good,Business Loan,Disbursement,3,0
6474,903035,15672,57,300,13286,Employed,20,Single,0,Poor,Business Loan,Disbursement,3,1
6475,474450,25995,49,536,2766,Unemployed,39,Divorced,0,Poor,Personal Loan,File,4,1
6476,328258,26448,23,555,6141,Retired,47,Single,2,Good,Car Loan,File,3,0
6477,253724,32136,51,749,8523,Employed,57,Single,1,Good,Home Loan,Disbursement,4,0
6478,206202,33088,45,435,12863,Employed,55,Single,1,Good,Business Loan,Disbursement,3,0
6479,30525,5177,57,771,19018,Unemployed,46,Married,3,Average,Home Loan,Sanction,0,0
6480,84818,29347,43,617,16246,Retired,23,Married,3,Good,Personal Loan,Lead,4,0
6481,119589,17684,42,328,14931,Retired,21,Single,2,Poor,Personal Loan,Sanction,0,1
6482,150406,23735,49,564,12356,Employed,9,Married,2,Average,Home Loan,File,0,0
6483,624003,7100,56,428,9221,Self-Employed,27,Widowed,1,Good,Home Loan,Sanction,2,0
6484,198839,38564,33,644,3947,Unemployed,57,Widowed,4,Good,Home Loan,File,1,0
6485,798076,21268,23,371,3732,Retired,26,Married,0,Poor,Business Loan,File,2,1
6486,368298,19656,42,412,5574,Employed,13,Widowed,0,Good,Personal Loan,Sanction,2,0
6487,511453,15628,56,669,17537,Employed,12,Divorced,2,Good,Business Loan,File,0,0
6488,955437,8407,30,518,18886,Retired,23,Widowed,1,Average,Personal Loan,Disbursement,3,0
6489,262438,26054,29,729,14396,Retired,14,Divorced,3,Good,Home Loan,Lead,1,0
6490,834901,28532,39,753,17059,Retired,48,Widowed,3,Good,Personal Loan,File,2,0
6491,431903,31584,28,413,8883,Self-Employed,51,Divorced,0,Good,Business Loan,Sanction,3,0
6492,898041,20075,53,308,17591,Retired,56,Single,2,Average,Personal Loan,Disbursement,3,0
6493,450872,30741,40,529,8240,Unemployed,19,Married,4,Good,Personal Loan,File,4,0
6494,415591,11449,50,368,11931,Unemployed,24,Married,3,Good,Personal Loan,Sanction,3,0
6495,512235,23557,55,710,7691,Unemployed,42,Widowed,2,Good,Home Loan,Lead,2,0
6496,518951,28659,51,532,16309,Unemployed,25,Single,0,Good,Personal Loan,Lead,0,0
6497,332350,5905,39,419,16205,Retired,45,Widowed,2,Good,Personal Loan,File,1,0
6498,887894,30930,34,731,12823,Unemployed,30,Married,2,Average,Business Loan,Sanction,4,0
6499,696967,12490,30,335,1884,Retired,44,Married,3,Good,Car Loan,File,2,0
6500,612466,8684,23,812,7077,Self-Employed,23,Divorced,2,Average,Business Loan,Lead,2,0
6501,946497,36872,54,387,10178,Unemployed,45,Divorced,2,Good,Car Loan,Disbursement,4,0
6502,704746,11376,48,387,13723,Self-Employed,30,Widowed,1,Good,Car Loan,Disbursement,1,0
6503,783754,35204,39,680,2619,Retired,17,Single,1,Good,Home Loan,Lead,1,0
6504,444503,22709,59,682,419,Unemployed,14,Married,2,Good,Personal Loan,Lead,4,0
6505,91724,15118,46,611,10479,Unemployed,34,Married,0,Average,Home Loan,Sanction,2,0
6506,758492,31888,24,409,5657,Unemployed,17,Widowed,0,Good,Car Loan,Lead,4,0
6507,101393,31291,32,660,13466,Employed,58,Widowed,3,Good,Home Loan,Disbursement,3,0
6508,918746,28975,46,486,15679,Employed,55,Widowed,1,Good,Personal Loan,Sanction,2,0
6509,605600,30289,27,307,1172,Employed,8,Widowed,1,Good,Business Loan,Sanction,3,0
6510,866756,29588,23,487,13122,Self-Employed,54,Widowed,0,Average,Personal Loan,Disbursement,0,0
6511,600484,37443,46,319,18637,Self-Employed,20,Divorced,3,Good,Home Loan,Lead,1,0
6512,599302,37108,22,694,15945,Self-Employed,54,Widowed,2,Good,Home Loan,File,1,0
6513,406426,27985,32,780,12838,Self-Employed,48,Widowed,4,Good,Car Loan,Sanction,3,0
6514,671282,38584,52,312,8250,Retired,45,Divorced,0,Poor,Home Loan,Lead,2,1
6515,434505,37049,58,369,14041,Unemployed,7,Married,1,Good,Business Loan,Lead,0,0
6516,527313,7822,31,813,17340,Unemployed,45,Single,4,Average,Home Loan,Sanction,1,0
6517,38340,27112,52,660,13756,Employed,52,Divorced,2,Good,Business Loan,Disbursement,2,0
6518,306994,27978,35,659,9274,Unemployed,44,Widowed,4,Poor,Business Loan,Sanction,1,0
6519,979488,18037,26,601,3848,Employed,39,Widowed,2,Good,Home Loan,Lead,3,0
6520,501915,10996,46,580,12191,Employed,45,Single,0,Good,Personal Loan,Disbursement,2,0
6521,642999,16324,28,719,2951,Unemployed,12,Single,4,Average,Car Loan,Lead,1,0
6522,744538,13473,28,398,16480,Employed,52,Widowed,2,Poor,Home Loan,Sanction,2,1
6523,16094,25066,58,388,1283,Employed,29,Widowed,4,Good,Business Loan,Disbursement,0,0
6524,879391,27427,28,689,2285,Employed,14,Widowed,3,Good,Home Loan,File,1,0
6525,955922,10067,37,384,12815,Unemployed,14,Single,4,Poor,Business Loan,Sanction,3,1
6526,797173,7341,59,634,12374,Self-Employed,28,Widowed,3,Average,Personal Loan,File,3,0
6527,640873,23427,39,761,2830,Retired,57,Divorced,3,Good,Car Loan,Sanction,4,0
6528,470590,17158,23,364,6526,Unemployed,17,Widowed,1,Good,Car Loan,Lead,0,0
6529,515491,28440,61,494,14602,Self-Employed,24,Single,4,Good,Home Loan,Lead,2,0
6530,389708,17627,29,731,7054,Retired,39,Married,0,Average,Business Loan,File,0,0
6531,73798,25202,53,381,2293,Employed,12,Divorced,2,Good,Home Loan,Lead,4,0
6532,907458,16341,52,322,183,Unemployed,21,Widowed,4,Good,Business Loan,Lead,4,0
6533,206604,4094,52,673,13459,Unemployed,28,Widowed,1,Good,Personal Loan,Lead,3,0
6534,115130,21314,26,497,17784,Unemployed,56,Divorced,2,Good,Car Loan,Sanction,3,0
6535,813596,26829,49,497,1225,Unemployed,50,Single,3,Average,Personal Loan,Disbursement,4,0
6536,695955,5520,57,631,3288,Self-Employed,44,Widowed,2,Good,Business Loan,Sanction,3,0
6537,35257,34136,37,651,2940,Self-Employed,31,Married,0,Good,Personal Loan,Lead,3,0
6538,412427,20991,39,776,761,Employed,42,Divorced,0,Good,Car Loan,Disbursement,0,0
6539,887421,7110,51,794,10494,Employed,27,Divorced,0,Average,Car Loan,Disbursement,4,0
6540,927736,36475,39,560,5784,Retired,12,Divorced,1,Average,Car Loan,Sanction,4,0
6541,990257,20677,43,819,7668,Employed,37,Widowed,2,Good,Business Loan,File,1,0
6542,57691,37252,55,526,6457,Retired,36,Divorced,0,Good,Business Loan,Sanction,3,0
6543,609056,34583,34,826,16761,Self-Employed,13,Single,4,Good,Car Loan,Disbursement,3,0
6544,423829,12715,21,808,2591,Retired,42,Divorced,0,Poor,Car Loan,Disbursement,1,0
6545,543314,21839,53,377,5166,Retired,54,Single,4,Good,Business Loan,Disbursement,3,0
6546,976039,35645,56,418,19392,Employed,9,Married,2,Good,Personal Loan,File,4,0
6547,754450,10738,21,475,19578,Employed,13,Divorced,2,Good,Personal Loan,File,0,0
6548,298052,37230,40,451,10863,Employed,8,Married,4,Good,Car Loan,Sanction,4,0
6549,974617,34559,42,343,7627,Employed,28,Divorced,4,Good,Home Loan,Lead,0,0
6550,548898,39261,55,309,10845,Retired,26,Married,0,Good,Personal Loan,File,1,0
6551,182718,33896,23,380,11969,Employed,52,Divorced,3,Good,Personal Loan,Lead,0,0
6552,503357,26365,32,553,5498,Self-Employed,22,Widowed,1,Poor,Personal Loan,File,2,0
6553,330329,20599,63,794,13593,Unemployed,29,Single,1,Good,Personal Loan,Lead,3,0
6554,863999,24331,57,820,9892,Unemployed,10,Widowed,0,Good,Business Loan,Lead,2,0
6555,183646,33522,33,615,17078,Self-Employed,23,Single,3,Good,Personal Loan,File,2,0
6556,523420,26805,32,775,16049,Unemployed,25,Divorced,2,Good,Personal Loan,Sanction,2,0
6557,227123,31374,22,652,5630,Retired,24,Widowed,4,Average,Car Loan,Sanction,1,0
6558,500236,19811,40,552,10914,Unemployed,44,Married,2,Good,Car Loan,File,2,0
6559,827614,20083,21,321,19899,Retired,32,Single,4,Good,Business Loan,Sanction,2,0
6560,907568,14161,61,619,5894,Unemployed,13,Widowed,3,Poor,Personal Loan,File,1,0
6561,923074,16403,55,789,4086,Retired,11,Single,1,Average,Home Loan,Sanction,1,0
6562,496006,8958,44,450,2254,Self-Employed,54,Married,1,Poor,Business Loan,Sanction,3,1
6563,548576,27805,58,578,5168,Employed,39,Divorced,3,Good,Car Loan,File,3,0
6564,870256,30970,46,816,5646,Retired,37,Single,1,Good,Personal Loan,File,0,0
6565,952381,36591,31,426,4517,Employed,18,Married,1,Good,Personal Loan,File,3,0
6566,613713,12468,63,505,19442,Self-Employed,7,Married,3,Good,Business Loan,Sanction,3,0
6567,5917,13135,35,376,10710,Employed,40,Widowed,3,Poor,Business Loan,File,3,1
6568,867034,26845,26,778,5580,Unemployed,44,Divorced,4,Good,Personal Loan,File,0,0
6569,856007,22155,60,368,12494,Self-Employed,51,Single,4,Poor,Business Loan,File,1,1
6570,863950,31491,29,714,17134,Self-Employed,49,Married,2,Good,Home Loan,File,2,0
6571,782475,2500,26,311,4752,Unemployed,32,Single,3,Average,Car Loan,Sanction,2,0
6572,44104,23990,37,387,9003,Employed,24,Married,1,Poor,Business Loan,File,3,1
6573,678422,9939,43,710,7263,Retired,50,Divorced,4,Good,Car Loan,File,0,0
6574,284143,23991,51,782,822,Self-Employed,46,Divorced,0,Good,Home Loan,Sanction,2,0
6575,267091,15789,36,839,3748,Retired,58,Divorced,3,Good,Car Loan,Disbursement,1,0
6576,460061,21134,42,768,10945,Employed,22,Single,3,Good,Personal Loan,Lead,3,0
6577,408157,20537,36,447,18602,Retired,40,Divorced,1,Good,Business Loan,Sanction,3,0
6578,590457,39504,32,535,14012,Retired,56,Widowed,3,Poor,Car Loan,File,1,1
6579,159542,2608,29,609,368,Unemployed,27,Divorced,0,Good,Home Loan,Sanction,1,0
6580,134744,15887,26,502,12208,Self-Employed,42,Married,1,Average,Business Loan,Lead,3,0
6581,902116,20047,24,556,9590,Self-Employed,26,Divorced,0,Good,Home Loan,Sanction,0,0
6582,64821,5294,58,417,13917,Retired,45,Divorced,0,Good,Business Loan,Lead,1,0
6583,222741,29005,37,409,12526,Unemployed,58,Married,4,Average,Car Loan,Disbursement,4,0
6584,254265,17173,30,831,18357,Self-Employed,10,Widowed,3,Good,Home Loan,File,2,0
6585,442651,24406,60,405,12277,Unemployed,41,Single,2,Good,Car Loan,Sanction,2,0
6586,402745,29287,55,671,12781,Self-Employed,35,Divorced,1,Good,Home Loan,Sanction,1,0
6587,219127,21569,41,766,1028,Unemployed,35,Single,0,Good,Personal Loan,Sanction,4,0
6588,279336,36299,39,526,1329,Self-Employed,56,Single,3,Good,Car Loan,Sanction,0,0
6589,341246,31750,47,679,19151,Unemployed,6,Single,2,Average,Business Loan,Sanction,2,0
6590,208834,38984,31,371,2940,Retired,46,Married,3,Good,Home Loan,Disbursement,1,0
6591,763826,5706,26,778,10015,Self-Employed,10,Widowed,3,Good,Home Loan,File,2,0
6592,906326,13266,61,768,9343,Self-Employed,56,Widowed,0,Average,Home Loan,Sanction,1,0
6593,91795,25643,63,405,14394,Unemployed,24,Married,0,Good,Home Loan,Lead,3,0
6594,170159,22886,48,727,1435,Self-Employed,37,Single,2,Good,Home Loan,Sanction,2,0
6595,333821,11846,23,414,2717,Employed,41,Single,3,Poor,Personal Loan,Disbursement,0,1
6596,664987,14719,61,720,7738,Employed,35,Single,4,Good,Personal Loan,Lead,0,0
6597,979045,23388,44,487,1926,Retired,55,Divorced,0,Good,Car Loan,Lead,4,0
6598,248877,21928,57,308,12835,Retired,57,Married,1,Good,Home Loan,Lead,2,0
6599,204298,5818,33,417,4879,Employed,35,Single,0,Good,Home Loan,Disbursement,0,0
6600,503843,10087,35,402,16617,Unemployed,40,Married,0,Good,Home Loan,Sanction,2,0
6601,925759,38211,29,746,12918,Employed,25,Single,2,Poor,Home Loan,Lead,0,0
6602,717793,24093,59,373,10065,Self-Employed,40,Married,0,Good,Business Loan,Disbursement,1,0
6603,141285,3047,55,481,8222,Employed,38,Married,2,Good,Personal Loan,File,2,0
6604,107412,21044,38,798,16007,Self-Employed,54,Widowed,3,Poor,Personal Loan,Disbursement,1,0
6605,548692,34115,63,774,11299,Self-Employed,31,Divorced,0,Good,Home Loan,Lead,1,0
6606,121545,9930,23,542,13053,Retired,45,Divorced,4,Good,Business Loan,Disbursement,4,0
6607,423596,17994,48,349,3387,Retired,55,Divorced,0,Good,Home Loan,File,0,0
6608,227128,28838,36,587,6484,Employed,30,Widowed,1,Good,Home Loan,Lead,0,0
6609,679533,27339,62,757,2240,Employed,25,Divorced,1,Good,Personal Loan,Lead,1,0
6610,713387,12559,61,540,17329,Self-Employed,27,Widowed,3,Good,Business Loan,File,1,0
6611,815421,5408,63,567,5474,Employed,43,Widowed,2,Good,Business Loan,Sanction,4,0
6612,790945,25878,43,596,17065,Unemployed,36,Widowed,3,Good,Car Loan,File,0,0
6613,375250,20068,52,680,9914,Self-Employed,49,Widowed,1,Good,Personal Loan,File,2,0
6614,291663,35637,30,349,2148,Self-Employed,26,Divorced,4,Average,Business Loan,Disbursement,0,0
6615,786163,39891,58,574,14093,Retired,50,Divorced,2,Good,Home Loan,File,3,0
6616,813871,29309,58,735,18838,Self-Employed,59,Widowed,3,Good,Home Loan,Disbursement,0,0
6617,385714,34391,33,528,836,Retired,37,Married,2,Good,Personal Loan,Sanction,4,0
6618,999453,27489,35,428,10761,Retired,21,Divorced,4,Average,Home Loan,Lead,0,0
6619,19995,29707,48,506,13524,Self-Employed,48,Widowed,4,Good,Business Loan,File,2,0
6620,28559,25596,33,630,14789,Employed,16,Married,2,Good,Car Loan,File,3,0
6621,526244,25111,55,624,9351,Employed,35,Widowed,2,Good,Business Loan,Sanction,3,0
6622,356193,18926,22,714,9915,Self-Employed,25,Married,4,Poor,Personal Loan,Disbursement,2,0
6623,403237,36971,21,468,10437,Retired,47,Single,2,Good,Personal Loan,File,4,0
6624,627288,21319,61,527,8390,Retired,18,Single,3,Good,Personal Loan,File,0,0
6625,681479,19135,52,372,17950,Unemployed,41,Widowed,1,Average,Home Loan,Lead,2,0
6626,449755,36879,50,673,14663,Self-Employed,47,Married,1,Good,Business Loan,Lead,4,0
6627,493051,9276,42,744,5180,Self-Employed,42,Married,4,Good,Home Loan,File,4,0
6628,830782,28062,24,568,6611,Retired,21,Divorced,3,Good,Business Loan,Disbursement,4,0
6629,444439,16586,44,833,19496,Self-Employed,48,Single,0,Good,Car Loan,Lead,4,0
6630,30517,23345,34,746,12435,Retired,6,Widowed,2,Average,Business Loan,File,4,0
6631,476869,20941,37,659,13388,Employed,53,Single,3,Good,Car Loan,File,3,0
6632,420466,3571,34,647,17239,Self-Employed,10,Divorced,2,Poor,Personal Loan,Sanction,1,0
6633,220558,11949,60,373,14404,Retired,59,Widowed,2,Good,Home Loan,Lead,2,0
6634,481111,39542,59,426,12572,Retired,20,Single,1,Good,Personal Loan,Sanction,0,0
6635,880564,14561,61,521,7507,Unemployed,51,Widowed,1,Average,Personal Loan,Sanction,4,0
6636,489282,34827,47,780,14144,Retired,59,Single,0,Good,Business Loan,File,4,0
6637,465014,31013,41,449,10723,Employed,19,Divorced,2,Good,Home Loan,Disbursement,0,0
6638,452415,27993,60,456,14139,Employed,34,Divorced,4,Good,Home Loan,Sanction,0,0
6639,522039,24595,55,364,9822,Unemployed,18,Married,3,Good,Car Loan,Sanction,1,0
6640,850978,19722,46,321,10209,Self-Employed,30,Widowed,1,Good,Personal Loan,Lead,3,0
6641,526396,27042,51,388,5392,Retired,46,Widowed,0,Good,Home Loan,Disbursement,1,0
6642,110686,9001,53,377,12618,Employed,13,Single,3,Good,Business Loan,File,0,0
6643,617439,28886,31,303,5739,Retired,10,Single,4,Good,Home Loan,File,4,0
6644,270471,9948,36,659,15992,Employed,33,Single,2,Good,Home Loan,Sanction,4,0
6645,649606,33874,26,306,16144,Retired,55,Married,0,Good,Business Loan,Disbursement,4,0
6646,952272,20855,54,831,8337,Unemployed,55,Single,2,Good,Car Loan,Lead,3,0
6647,724778,27295,61,795,12538,Unemployed,24,Divorced,2,Poor,Car Loan,Disbursement,0,0
6648,492602,27811,52,755,15274,Self-Employed,43,Single,3,Average,Business Loan,Disbursement,1,0
6649,703148,31225,41,721,19360,Retired,30,Widowed,3,Good,Home Loan,Lead,4,0
6650,645233,22723,49,524,2963,Employed,39,Widowed,0,Good,Business Loan,Lead,0,0
6651,218456,9879,31,350,18122,Self-Employed,23,Single,0,Good,Personal Loan,Lead,2,0
6652,313974,11549,25,783,16323,Self-Employed,29,Divorced,0,Good,Business Loan,Lead,0,0
6653,57446,29338,47,805,3161,Employed,45,Single,1,Good,Personal Loan,Lead,1,0
6654,413376,20169,48,767,1025,Unemployed,43,Divorced,1,Average,Home Loan,Disbursement,2,0
6655,716943,36730,51,698,4263,Unemployed,48,Married,2,Average,Home Loan,File,1,0
6656,432214,17136,31,332,6219,Employed,59,Married,3,Average,Business Loan,Sanction,2,0
6657,949734,7965,33,744,19911,Retired,21,Divorced,2,Good,Business Loan,Lead,4,0
6658,145148,4678,63,368,18577,Employed,51,Married,0,Average,Car Loan,Disbursement,0,0
6659,598629,24489,26,426,6456,Retired,37,Married,2,Good,Personal Loan,Lead,0,0
6660,36085,21507,47,420,1447,Retired,59,Single,4,Good,Business Loan,Sanction,0,0
6661,322715,37911,50,473,7981,Employed,34,Divorced,1,Good,Car Loan,Disbursement,1,0
6662,412931,37568,39,623,2111,Employed,49,Widowed,4,Good,Business Loan,File,1,0
6663,529006,34081,34,692,18288,Retired,21,Married,0,Good,Car Loan,Disbursement,4,0
6664,395452,24586,29,813,13870,Unemployed,38,Divorced,3,Good,Personal Loan,Lead,0,0
6665,10750,36562,48,438,9828,Self-Employed,7,Single,0,Poor,Car Loan,Lead,2,1
6666,905363,4342,48,328,3590,Self-Employed,59,Single,1,Average,Business Loan,File,1,0
6667,345912,12167,45,814,14568,Unemployed,15,Divorced,1,Good,Business Loan,File,1,0
6668,516760,36075,46,573,15828,Unemployed,8,Single,3,Poor,Car Loan,Lead,3,0
6669,40903,3455,24,408,4112,Retired,6,Married,2,Good,Business Loan,Lead,3,0
6670,208561,28293,23,549,5744,Retired,8,Single,0,Good,Car Loan,Disbursement,1,0
6671,954597,4539,54,320,5655,Unemployed,28,Married,3,Good,Business Loan,Lead,1,0
6672,620324,38386,41,461,17316,Unemployed,9,Divorced,3,Average,Car Loan,File,4,0
6673,617242,37146,37,341,2272,Unemployed,52,Single,1,Poor,Business Loan,Disbursement,1,1
6674,517493,27450,58,366,1563,Unemployed,29,Married,2,Average,Personal Loan,Sanction,4,0
6675,432530,20589,54,355,9663,Unemployed,53,Divorced,3,Good,Business Loan,Lead,2,0
6676,446441,14719,64,654,7686,Unemployed,41,Widowed,1,Good,Home Loan,Disbursement,2,0
6677,874446,35907,32,302,12080,Self-Employed,57,Single,2,Average,Car Loan,Lead,2,0
6678,433395,5591,45,696,2552,Unemployed,31,Married,2,Good,Car Loan,File,3,0
6679,646593,23098,41,470,10637,Self-Employed,55,Widowed,3,Average,Home Loan,Sanction,3,0
6680,510633,6714,38,777,622,Self-Employed,50,Married,2,Good,Home Loan,File,4,0
